hour,num_decisions_mean,num_decisions_standard_deviation,num_decisions_median,num_decisions_min,num_decisions_max,num_decisions_count,optimal_hits_mean,optimal_hits_standard_deviation,optimal_hits_median,optimal_hits_min,optimal_hits_max,optimal_hits_count,optimum_recovery_rate_mean,optimum_recovery_rate_standard_deviation,optimum_recovery_rate_median,optimum_recovery_rate_min,optimum_recovery_rate_max,optimum_recovery_rate_count,average_selected_energy_mean,average_selected_energy_standard_deviation,average_selected_energy_median,average_selected_energy_min,average_selected_energy_max,average_selected_energy_count,average_exact_min_energy_mean,average_exact_min_energy_standard_deviation,average_exact_min_energy_median,average_exact_min_energy_min,average_exact_min_energy_max,average_exact_min_energy_count,average_optimality_gap_mean,average_optimality_gap_standard_deviation,average_optimality_gap_median,average_optimality_gap_min,average_optimality_gap_max,average_optimality_gap_count,maximum_optimality_gap_mean,maximum_optimality_gap_standard_deviation,maximum_optimality_gap_median,maximum_optimality_gap_min,maximum_optimality_gap_max,maximum_optimality_gap_count,average_energy_reduction_mean,average_energy_reduction_standard_deviation,average_energy_reduction_median,average_energy_reduction_min,average_energy_reduction_max,average_energy_reduction_count
10,2700,0.0,2700,2700,2700,3,1790.3333333333333,21.385353243127252,1795,1767,1809,3,0.6630864197530865,0.007920501201158236,0.6648148148148149,0.6544444444444445,0.67,3,-127.37337901234638,1.0769956016682407,-126.99410000000054,-128.5887037037044,-126.53733333333417,3,-131.653779012346,1.1776949415449052,-131.00084074074113,-133.01331111111134,-130.94718518518553,3,4.280400000000013,0.23711067930121288,4.409851851851862,4.006740740740755,4.4246074074074215,3,57.826666666666675,3.531364231190744,57.94000000000001,54.239999999999995,61.30000000000001,3,-4.028039506172851,0.23018331542798023,-4.14245925925927,-4.1785925925926035,-3.763066666666679,3
11,2700,0.0,2700,2700,2700,3,1833.6666666666667,12.701705922171767,1841,1819,1841,3,0.6791358024691357,0.004704335526730272,0.6818518518518518,0.6737037037037037,0.6818518518518518,3,-135.41619382716044,3.3587378727240726,-134.83651851851886,-139.02704074074032,-132.38502222222218,3,-139.8075543209875,3.794675565898538,-139.43151851851874,-143.7762481481475,-136.21489629629622,3,4.391360493827175,0.4923365015923414,4.59500000000001,3.829874074074086,4.749207407407428,3,83.86,15.672498205455318,89.18,66.22,96.18,3,-3.9270740740740884,0.41510871883150724,-4.114377777777793,-4.215525925925945,-3.451318518518528,3
12,2700,0.0,2700,2700,2700,3,1451.6666666666667,686.4723835183272,1846,659,1850,3,0.5376543209876543,0.2542490309327138,0.6837037037037037,0.24407407407407408,0.6851851851851852,3,-134.08574567901238,7.974820804187693,-137.2020703703703,-140.0318592592592,-125.0233074074076,3,-144.9067876543207,3.6483442656447966,-144.36728888888854,-148.79484074074054,-141.55823333333308,3,10.821041975308644,11.215459298596809,4.356162962962972,4.335429629629641,23.77153333333332,3,100.50666666666667,40.26941933196123,80.28,74.36000000000001,146.88,3,-9.852651851851869,10.353479101120506,-3.919259259259272,-21.807711111111143,-3.830985185185193,3
13,2700,0.0,2700,2700,2700,3,1778.6666666666667,19.553345834749955,1777,1760,1799,3,0.6587654320987655,0.007241979938796243,0.6581481481481481,0.6518518518518519,0.6662962962962963,3,-144.11559012345663,1.4286105217508418,-144.13661851851833,-145.53357037037,-142.67658148148152,3,-149.12473827160483,1.716259904553095,-148.9007740740741,-150.94198518518488,-147.53145555555554,3,5.00914814814817,0.34873753129522017,4.854874074074096,4.764155555555574,5.408414814814841,3,89.06666666666666,9.186083677679715,94.28,78.45999999999998,94.46000000000002,3,-4.351412345679033,0.21588522916569927,-4.244688888888909,-4.599874074074099,-4.209674074074091,3
14,2700,0.0,2700,2700,2700,3,1015.6666666666666,643.7463268503622,645,643,1759,3,0.3761728395061728,0.2384245655001341,0.2388888888888889,0.23814814814814814,0.6514814814814814,3,-147.32641358024634,9.562791579595253,-143.20067777777749,-158.25949629629488,-140.51906666666665,3,-166.4467296296289,1.6465937640975892,-165.76266666666638,-168.32509259259203,-165.2524296296283,3,19.1203160493827,10.50279057837684,25.12441481481479,6.992933333333349,25.24359999999996,3,121.74,22.813688873130552,127.75999999999998,96.51999999999998,140.94000000000003,3,-16.704155555555573,9.653286085761305,-22.179303703703738,-22.375088888888893,-5.558074074074093,3
15,2700,0.0,2700,2700,2700,3,1654.3333333333333,42.73562136360408,1678,1605,1680,3,0.6127160493827161,0.01582800791244597,0.6214814814814815,0.5944444444444444,0.6222222222222222,3,-169.18311851851882,1.5465582744098898,-168.64787037037098,-170.92620000000034,-167.97528518518516,3,-178.17097283950633,1.5105125953250735,-177.31651481481518,-179.91504444444465,-177.28135925925918,3,8.987854320987678,0.3187159682864775,8.988844444444473,8.668644444444466,9.306074074074097,3,137.23999999999998,25.062122815116858,127.33999999999997,118.63999999999997,165.74,3,-6.768540740740751,0.15492454360509567,-6.784962962962974,-6.914600000000006,-6.606059259259273,3
16,2700,0.0,2700,2700,2700,3,1473,16.46207763315433,1464,1463,1492,3,0.5455555555555556,0.006097065790057183,0.5422222222222223,0.5418518518518518,0.5525925925925926,3,-172.07181728395082,1.1046533091270934,-172.69991111111122,-172.7192185185189,-170.7963222222224,3,-184.10816543209899,0.8618812214697269,-184.2672666666667,-184.87941111111138,-183.17781851851888,3,12.036348148148178,0.4209624344858966,12.160192592592626,11.567355555555576,12.381496296296334,3,139.67999999999998,8.017680462577715,135.56,134.55999999999995,148.92000000000002,3,-8.786039506172852,0.30295111942198377,-8.849281481481492,-9.052377777777794,-8.456459259259267,3
17,2700,0.0,2700,2700,2700,3,1312,665.0270671183241,1508,571,1857,3,0.48592592592592593,0.2463063211549349,0.5585185185185185,0.2114814814814815,0.6877777777777778,3,-167.7190024691361,20.381102226900456,-173.33133333333353,-184.70590740740815,-145.1197666666666,3,-186.11817530864212,3.6188248447133224,-185.1800518518519,-190.11368518518563,-183.0607888888888,3,18.399172839506196,17.22742979608403,11.84871851851855,5.407777777777772,37.941022222222266,3,143.17333333333332,74.01293220332063,111.96000000000001,89.87999999999997,227.68,3,-13.181545679012354,12.582831748074343,-8.43825925925927,-27.446614814814826,-3.6597629629629647,3
18,2700,0.0,2700,2700,2700,3,674,40.11234224026316,687,629,706,3,0.24962962962962962,0.014856423051949319,0.2544444444444444,0.23296296296296296,0.2614814814814815,3,-157.5568246913579,3.1492172209232776,-158.41633703703678,-160.18705185185198,-154.06708518518494,3,-184.69834074074072,3.0011119413268887,-184.5980037037037,-187.74836296296274,-181.74865555555567,3,27.14151604938269,0.8334258818183149,27.56131111111111,26.181666666666672,27.681570370370295,3,154.24666666666667,6.339474215842623,154.82000000000002,147.64,160.28,3,-22.170693827160523,0.5664329001886177,-22.30785925925929,-22.65594814814817,-21.548274074074108,3
19,2700,0.0,2700,2700,2700,3,1444.6666666666667,475.98354313288326,1691,896,1747,3,0.5350617283950617,0.17629020116032718,0.6262962962962964,0.33185185185185184,0.6470370370370371,3,-145.5188827160488,6.217088798995613,-146.79181481481407,-151.00098888888814,-138.76384444444417,3,-157.33219382715998,4.515041319731267,-157.75734444444387,-161.61962222222186,-152.61961481481424,3,11.813311111111116,9.574320154364539,6.756355555555571,5.827800000000028,22.855777777777746,3,139.35333333333332,70.9152799707745,107.11999999999999,90.28,220.65999999999997,3,-9.513634567901256,7.636782207338556,-5.3653703703703925,-18.3267851851852,-4.8487481481481725,3
20,2700,0.0,2700,2700,2700,3,1382.6666666666667,632.7956489525931,1743,652,1753,3,0.5120987654320988,0.23436875887133077,0.6455555555555555,0.2414814814814815,0.6492592592592593,3,-107.62942222222338,6.739593294942248,-111.13277777777898,-111.89580000000079,-99.85968888889039,3,-117.82013333333398,2.9951407306281403,-116.5178222222226,-121.24597037037084,-115.6966074074085,3,10.190711111111131,9.695692008974627,4.622022222222239,4.56382962962965,21.386281481481504,3,84.72666666666667,38.298910341331286,67.30000000000001,58.24000000000001,128.64,3,-9.93464938271607,9.484486488163762,-4.487548148148166,-20.886340740740764,-4.43005925925928,3
21,2700,0.0,2700,2700,2700,3,1229.3333333333333,938.6108529807938,703,672,2313,3,0.4553086419753086,0.34763364925214585,0.26037037037037036,0.24888888888888888,0.8566666666666667,3,-96.66267654321048,3.1635290899046966,-95.11858518518646,-100.30173333333279,-94.5677111111122,3,-111.0022543209877,7.986913039346305,-115.06380740740786,-116.14215555555589,-101.80079999999934,3,14.339577777777789,11.123335894444223,20.49609629629633,1.4990666666666648,21.023570370370372,3,82.48666666666666,27.448135334359836,94.63999999999999,51.06,101.75999999999999,3,-14.099775308641993,11.064220396992047,-20.25760740740743,-20.715074074074106,-1.3266444444444419,3
22,2700,0.0,2700,2700,2700,3,1128.3333333333333,553.7231558579913,1045,621,1719,3,0.41790123456790124,0.2050826503177746,0.387037037037037,0.23,0.6366666666666667,3,-94.27063456790216,7.170110369572988,-95.28243703703775,-100.88110000000117,-86.64836666666756,3,-107.58169629629681,1.220411758456174,-107.69838888888941,-108.73957037037079,-106.30712962963024,3,13.311061728395067,7.813020467058429,13.457133333333315,5.42602962962965,21.050022222222236,3,70.94,31.86710529684175,72.94,38.120000000000005,101.75999999999999,3,-13.215019753086429,7.756504538078761,-13.379511111111087,-20.887970370370397,-5.377577777777801,3
23,2700,0.0,2700,2700,2700,3,884,329.1276348166468,699,689,1264,3,0.3274074074074074,0.12189912400616547,0.2588888888888889,0.2551851851851852,0.46814814814814815,3,-86.30972469135835,6.866969132341565,-83.1658259259263,-94.18581481481519,-81.57753333333359,3,-103.45650000000009,1.342294413135892,-103.37002592592602,-104.83994074074064,-102.15953333333363,3,17.14677530864197,5.6259714907882685,20.2042,10.654125925925914,20.581999999999994,3,75.80666666666667,18.937690813120103,85.30000000000001,54.0,88.12,3,-17.114849382716045,5.610567402218169,-20.164274074074076,-20.540311111111105,-10.639962962962956,3
