OBJECTID,INTR_ID,GIS_XCOORD,GIS_YCOORD,COMPKEY,COMPTYPE,UNITID,SUBAREA,UNITDESC,ARTERIALCLASSCD,SE_ANNO_CAD_DATA,SIGNAL_MAINT_DIST,SIGNAL_TYPE,SHAPE_LNG,SHAPE_LAT,x,y
11994754,17638,1271151.05746,197381.91833,35147,13,78504,GRDWM,5TH AVE S AND S MONROE ST,0,System.Byte[], ,NONE,-122.328179143627,47.5312807564382,1271151.05745845,197381.918334052
11994755,15519,1283681.95898,207391.88366,33416,13,66104,SE,44TH AVE S AND S ANGELINE ST,0,System.Byte[], ,NONE,-122.278224914443,47.5593740980214,1283681.95897527,207391.883656308
11994756,8166,1274357.34124,243374.63006,27094,13,23134,NE,9TH AVE NE AND NE 42ND ST,1,System.Byte[], ,NONE,-122.31879625213,47.6575158712594,1274357.34123772,243374.63006115
11994757,2913,1280339.33523,267114.33517,36054,13,221325,N,30TH AVE NE AND NE 130TH ST,3,System.Byte[], ,NONE,-122.29635851954,47.7229000507779,1280339.33522785,267114.335173458
11994758,13244,1281143.62169,217767.24879,30833,13,46510,SE,LAKE WASHINGTON BLVD S AND S MASSACHUSETTS ST,0,System.Byte[], ,NONE,-122.289298524844,47.5876818714617,1281143.62169267,217767.248786926
11994759,4208,1254537.49712,258494.78828,36869,13,229302,BLRD,NW ESPLANADE AND DEAD END,0,System.Byte[], ,NONE,-122.400452507516,47.6978818140818,1254537.49712142,258494.788284644
11994760,5549,1254923.75325,252560.80377,23997,13,2705,BLRD,32ND AVE NW AND NW 73RD ST,3,System.Byte[], ,NONE,-122.398394260611,47.6816388166816,1254923.75324982,252560.803766564
11994761,17477,1270468.05023,198182.85939,34272,13,71731,GRDWM,S PORTLAND ST AND DEAD END 2 ,0,System.Byte[], ,NONE,-122.331006459928,47.5334397110508,1270468.05022575,198182.859390885
11994762,17257,1257900.26295,199255.55469,33817,13,68336,SW,39TH AVE SW AND SW WEBSTER ST,0,System.Byte[], ,NONE,-122.381958845917,47.5356980313424,1257900.26294887,199255.554687977
11994763,12637,1275720.59961,221754.52662,30761,13,45552,CNTRL,16TH AVE S AND S KING ST,0,System.Byte[], ,NONE,-122.311580475256,47.5983275583919,1275720.59960712,221754.526615009
11994764,15016,1273103.13042,210083.71188,32292,13,57316,GRDWM,9TH AVE S AND S ADAMS ST,0,System.Byte[], ,NONE,-122.321272864385,47.5661997850822,1273103.13042045,210083.711883068
11994765,6862,1257492.46442,247780.35474,25143,13,11136,BLRD,24TH AVE NW AND NW MARKET ST,2,System.Byte[], ,CITY,-122.387576487717,47.6686786927666,1257492.46442045,247780.354737669
11994766,11646,1281348.16492,227805.37053,30251,13,42540,CNTRL,34TH AVE AND E PINE ST,3,System.Byte[], ,NONE,-122.289239314789,47.615206966504,1281348.16492489,227805.370525211
11994767,9501,1273099.42303,237749.01009,28209,13,30131,LKUN,BOYLSTON AVE E AND E LOUISA ST,2,System.Byte[], ,NONE,-122.323457609944,47.6420295247017,1273099.42302844,237749.010087401
11994768,11322,1265366.4131,229351.30563,29662,13,39516,DWNTN,DENNY WAY AND WARREN AVE N,1,System.Byte[], ,NONE,-122.35414746774,47.6185970219203,1265366.41310053,229351.305630788
11994769,15840,1271635.98187,205983.44845,33157,13,64519,GRDWM,6TH AVE S AND S BENNETT ST,0,System.Byte[], ,NONE,-122.326892287357,47.554883146447,1271635.98187494,205983.448454872
11994770,3260,1281150.66502,264410.43219,36618,13,227120,N,33RD AVE NE AND NE 120TH ST,0,System.Byte[], ,NONE,-122.292854474577,47.7155309277943,1281150.66502067,264410.432194695
11994771,10650,1276025.46105,232813.69079,529881,13,37651,E,16TH AVE E AND E PROSPECT E ST,0,System.Byte[], ,NONE,-122.311205811148,47.6286565994277,1276025.46104744,232813.690786347
11994772,14335,1276851.64422,212525.32545,32545,13,58654,GRDWM,S HINDS ST AND DEAD END 3,0,System.Byte[], ,NONE,-122.306281131525,47.5730898902202,1276851.64421628,212525.325453565
11994773,7982,1266168.73656,244060.58104,26952,13,22535,LKUN,DAYTON AVE N AND N 43RD ST,3,System.Byte[], ,NONE,-122.352071873845,47.6589578894849,1266168.73655733,244060.581037864
11994774,9605,1261238.51934,237330.04407,27917,13,28573,MGNL-QA,11TH AVE W AND SOUND VIEW S TR W,0,System.Byte[], ,NONE,-122.371528073137,47.640241419716,1261238.5193363,237330.044070959
11994775,17130,1254674.02448,199981.86176,33910,13,68726,SW,VIEW LN SW AND SW OTHELLO ST,0,System.Byte[], ,NONE,-122.395076432958,47.5375100628905,1254674.02448156,199981.861760721
