hour,start_edge,start_edge_vph,route_probability_sum,route_count
10,-C0_1,558.2411485076756,0.999999999999998,37
10,-C1_1,558.2411485076753,0.9999999999999976,37
10,-C2_0,558.2411485076757,0.999999999999998,37
10,-C2_1,558.2411485076757,0.999999999999998,37
11,-A0_0,593.2640142529472,0.9999999999999982,37
11,-A0_1,593.264014252947,0.9999999999999981,37
11,-A1_1,593.2640142529468,0.9999999999999976,37
11,-A2_0,593.2640142529472,0.9999999999999982,37
11,-A2_1,593.264014252947,0.9999999999999981,37
11,-B0_0,593.2640142529468,0.9999999999999978,37
11,-B2_0,593.2640142529468,0.9999999999999978,37
11,-C0_0,593.264014252947,0.999999999999998,37
11,-C0_1,593.264014252947,0.999999999999998,37
11,-C1_1,593.2640142529468,0.9999999999999976,37
11,-C2_0,593.264014252947,0.999999999999998,37
11,-C2_1,593.264014252947,0.999999999999998,37
12,-A0_0,630.790520160742,0.9999999999999982,37
12,-A0_1,630.790520160742,0.9999999999999981,37
12,-A1_1,630.7905201607416,0.9999999999999976,37
12,-A2_0,630.790520160742,0.9999999999999982,37
12,-A2_1,630.7905201607418,0.9999999999999981,37
12,-B0_0,630.7905201607416,0.9999999999999978,37
12,-B2_0,630.7905201607416,0.9999999999999978,37
12,-C0_0,630.7905201607418,0.999999999999998,37
12,-C0_1,630.7905201607418,0.999999999999998,37
12,-C1_1,630.7905201607416,0.9999999999999976,37
12,-C2_0,630.7905201607418,0.999999999999998,37
12,-C2_1,630.7905201607418,0.999999999999998,37
13,-A0_0,641.9735806444564,0.9999999999999982,37
13,-A0_1,641.9735806444564,0.9999999999999981,37
13,-A1_1,641.973580644456,0.9999999999999976,37
13,-A2_0,641.9735806444564,0.9999999999999982,37
13,-A2_1,641.9735806444564,0.9999999999999981,37
13,-B0_0,641.9735806444561,0.9999999999999978,37
13,-B2_0,641.9735806444561,0.9999999999999978,37
13,-C0_0,641.9735806444563,0.999999999999998,37
13,-C0_1,641.9735806444563,0.999999999999998,37
13,-C1_1,641.973580644456,0.9999999999999976,37
13,-C2_0,641.9735806444563,0.999999999999998,37
13,-C2_1,641.9735806444563,0.999999999999998,37
14,-A0_0,678.4207804284661,0.9999999999999982,37
14,-A0_1,678.4207804284661,0.9999999999999981,37
14,-A1_1,678.4207804284657,0.9999999999999976,37
14,-A2_0,678.4207804284661,0.9999999999999982,37
14,-A2_1,678.4207804284661,0.9999999999999981,37
14,-B0_0,678.4207804284658,0.9999999999999978,37
14,-B2_0,678.4207804284658,0.9999999999999978,37
14,-C0_0,678.420780428466,0.999999999999998,37
14,-C0_1,678.420780428466,0.999999999999998,37
14,-C1_1,678.4207804284657,0.9999999999999976,37
