hour,num_decisions_mean,num_decisions_standard_deviation,num_decisions_median,num_decisions_min,num_decisions_max,num_decisions_count,optimal_hits_mean,optimal_hits_standard_deviation,optimal_hits_median,optimal_hits_min,optimal_hits_max,optimal_hits_count,optimum_recovery_rate_mean,optimum_recovery_rate_standard_deviation,optimum_recovery_rate_median,optimum_recovery_rate_min,optimum_recovery_rate_max,optimum_recovery_rate_count,average_selected_energy_mean,average_selected_energy_standard_deviation,average_selected_energy_median,average_selected_energy_min,average_selected_energy_max,average_selected_energy_count,average_exact_min_energy_mean,average_exact_min_energy_standard_deviation,average_exact_min_energy_median,average_exact_min_energy_min,average_exact_min_energy_max,average_exact_min_energy_count,average_optimality_gap_mean,average_optimality_gap_standard_deviation,average_optimality_gap_median,average_optimality_gap_min,average_optimality_gap_max,average_optimality_gap_count,maximum_optimality_gap_mean,maximum_optimality_gap_standard_deviation,maximum_optimality_gap_median,maximum_optimality_gap_min,maximum_optimality_gap_max,maximum_optimality_gap_count,average_energy_reduction_mean,average_energy_reduction_standard_deviation,average_energy_reduction_median,average_energy_reduction_min,average_energy_reduction_max,average_energy_reduction_count
10,2700,0.0,2700.0,2700,2700,20,1758.1,227.38627001090828,1784.5,1092,2309,20,0.6511481481481481,0.08421713704107714,0.6609259259259259,0.40444444444444444,0.8551851851851852,20,-126.27547537037047,2.3232364317505576,-126.8709074074074,-128.5887037037044,-118.22953703703703,20,-131.05491833333338,3.012104529827496,-131.1994648148148,-136.33100740740738,-119.5482111111111,20,4.779442962962966,2.2289374465341703,4.32155925925926,1.3186740740740743,11.636955555555556,20,62.068,9.749449431148726,60.24000000000001,48.06,88.39999999999998,20,-4.470205555555558,2.1740880607881676,-4.057144444444445,-11.263496296296298,-0.8402518518518526,20
11,2700,0.0,2700.0,2700,2700,20,1652.35,380.02205960900966,1793.0,664,1849,20,0.6119814814814815,0.14074891096629985,0.664074074074074,0.24592592592592594,0.6848148148148148,20,-134.6823946296296,4.829040580634674,-135.76600925925925,-139.3932851851852,-121.55468888888888,20,-141.98589425925923,4.283683960718609,-141.5996148148148,-156.3294111111111,-136.21489629629622,20,7.303499629629632,6.521932246069209,4.77115925925927,3.829874074074086,23.775118518518518,20,94.21600000000001,33.357865386710436,90.83,55.24000000000001,207.98,20,-6.512791851851855,5.884152132001934,-4.230874074074084,-22.14134074074074,-3.451318518518528,20
12,2700,0.0,2700.0,2700,2700,20,1610.5,489.51786161702546,1823.0,648,2166,20,0.5964814814814815,0.18130291171000942,0.6751851851851851,0.24,0.8022222222222222,20,-135.18521851851852,6.575311310860887,-137.79715555555555,-143.1324148148148,-122.41605925925926,20,-143.24373111111106,3.5876940044411585,-143.11407407407407,-148.79484074074054,-131.64378888888888,20,8.058512592592594,7.776989861059919,4.462396296296297,2.3570444444444445,23.77153333333332,20,89.789,28.52700546942548,80.32000000000001,48.06,146.88,20,-7.321591111111115,7.290566739157164,-3.9802666666666675,-21.807711111111143,-1.7737777777777788,20
13,2700,0.0,2700.0,2700,2700,20,1687.9,350.6484069023527,1799.0,643,2194,20,0.6251481481481481,0.1298697803342047,0.6662962962962963,0.23814814814814814,0.8125925925925926,20,-143.45396777777773,4.434070906188034,-144.50339444444444,-147.86758148148147,-131.10891481481482,20,-150.79046037037034,3.0816469161783875,-150.9380166666665,-156.03223333333332,-142.2169888888889,20,7.336492592592596,5.996437118371402,5.158651851851852,2.349362962962963,24.079903703703703,20,111.92999999999999,34.65611482461417,100.43,68.82,190.31999999999996,20,-6.250665925925929,5.2376552726552905,-4.4266259259259275,-22.148807407407407,-1.4653851851851858,20
14,2700,0.0,2700.0,2700,2700,20,1345.1,539.1433653686677,1708.0,643,1873,20,0.4981851851851852,0.19968272791432135,0.6325925925925926,0.23814814814814814,0.6937037037037037,20,-151.8042498148147,8.209645582723562,-155.30547592592592,-160.6813222222222,-139.3487888888889,20,-165.83003425925915,3.979526019350086,-165.17481851851784,-177.30267037037035,-160.58225185185182,20,14.025784444444442,9.636922493222418,7.099196296296304,5.295511111111112,31.083325925925923,20,134.178,28.992568122120357,136.73000000000002,96.51999999999998,216.28,20,-11.769738888888892,8.395980296249883,-5.5833518518518614,-23.8966,-4.2794444444444455,20
15,2700,0.0,2700.0,2700,2700,20,1256.85,491.66262234435345,1604.0,638,1828,20,0.4655,0.18209726753494573,0.5940740740740741,0.2362962962962963,0.677037037037037,20,-162.1888031481482,10.034740012184251,-168.0503333333333,-175.8742074074074,-144.9405,20,-179.10476462962964,2.666631452518591,-178.3572796296296,-187.2155111111111,-174.69471851851853,20,16.915961481481485,10.730238251388084,9.31406666666668,5.3125629629629625,34.62194074074074,20,146.583,39.969099788395745,142.69,78.22,230.61999999999998,20,-13.198764814814815,8.494065347498461,-6.910359259259263,-25.39999259259259,-3.631296296296297,20
16,2700,0.0,2700.0,2700,2700,20,1283.1,367.0723290263679,1472.0,636,1542,20,0.4752222222222222,0.13595271445421034,0.5451851851851852,0.23555555555555555,0.5711111111111111,20,-168.5735153703704,7.668498131093627,-172.3503851851852,-174.4880777777778,-147.40874444444444,20,-184.86719870370374,1.3670992763396774,-184.8482666666668,-188.02863333333335,-183.00858148148149,20,16.293683333333338,8.298016370679331,12.120200000000017,10.59751851851852,37.40837777777777,20,145.86499999999998,21.099796831149572,139.6,119.91999999999997,193.94,20,-12.327346666666669,6.762672628785063,-8.781470370370375,-27.057377777777777,-7.678777777777778,20
17,2700,0.0,2700.0,2700,2700,20,999.5,465.82518745035446,662.5,571,1857,20,0.3701851851851852,0.172527847203835,0.24537037037037038,0.2114814814814815,0.6877777777777778,20,-163.06166518518523,12.340525857354658,-160.0511111111111,-184.70590740740815,-144.46223703703703,20,-185.89330925925927,2.8461947425021683,-185.7724851851852,-192.76639999999998,-181.04077777777778,20,22.831644074074077,10.725765206863061,27.618522222222218,5.407777777777772,37.941022222222266,20,159.99599999999998,41.89739627634207,149.98000000000002,89.87999999999997,240.14000000000001,20,-17.5987,8.425169807904132,-22.73778148148148,-27.446614814814826,-3.6597629629629647,20
18,2700,0.0,2700.0,2700,2700,20,1100.95,426.91148780637496,1418.5,582,1575,20,0.40775925925925927,0.15811536585421296,0.5253703703703704,0.21555555555555556,0.5833333333333334,20,-162.78083796296295,11.477869386754893,-169.90372037037037,-175.77585185185185,-145.08795925925926,20,-184.14598203703702,2.509374202070257,-183.38167222222222,-189.16467407407407,-179.85846296296296,20,21.36514407407407,10.79509868374457,13.903396296296297,10.286644444444445,38.80505925925925,20,166.801,44.97074065141513,151.16999999999996,116.91999999999996,295.14,20,-16.045371111111116,8.236541282384772,-9.844096296296296,-27.847207407407403,-7.7343629629629636,20
19,2700,0.0,2700.0,2700,2700,20,1577.7,368.106692199565,1746.0,640,1810,20,0.5843333333333334,0.13633581192576483,0.6466666666666667,0.23703703703703705,0.6703703703703704,20,-147.20200240740732,5.495452681656885,-149.3218037037037,-153.9427037037037,-134.28372222222222,20,-156.56970759259252,3.6151044686095872,-156.23988148148146,-164.12908148148148,-149.74351851851853,20,9.367705185185185,6.799207097812051,6.226118518518519,5.372881481481483,25.66957037037037,20,119.00399999999999,32.75631146897695,112.57000000000001,86.66,220.65999999999997,20,-7.754908148148152,5.673258117816721,-5.092174074074075,-22.68157037037037,-4.629600000000001,20
20,2700,0.0,2700.0,2700,2700,20,1512.65,605.5083358111943,1743.5,650,2447,20,0.5602407407407407,0.22426234659673866,0.6457407407407407,0.24074074074074073,0.9062962962962963,20,-107.05064518518536,5.479938679807744,-111.09941481481542,-113.1516,-99.4585148148148,20,-116.1430674074075,5.222237319678969,-116.49535185185204,-121.91179629629629,-103.23953703703704,20,9.092422222222226,8.230173834926898,4.611066666666676,0.7068000000000001,21.601074074074074,20,69.777,27.033783367444045,57.71000000000001,42.24000000000001,128.64,20,-8.843324814814817,8.093212369951427,-4.478796296296306,-21.158133333333332,-0.4522370370370376,20
21,2700,0.0,2700.0,2700,2700,20,1526.15,850.002555723712,1393.5,628,2499,20,0.5652407407407407,0.31481576137915257,0.5161111111111111,0.2325925925925926,0.9255555555555556,20,-97.31659018518528,3.3278186624523878,-96.86734074074073,-107.82027037037037,-93.78804444444444,20,-107.94539944444445,8.371030034189518,-113.71069814814814,-116.14215555555589,-97.27372592592593,20,10.628809259259262,9.643705927645417,8.892822222222222,0.5140666666666668,21.271533333333334,20,69.205,27.115583303604897,65.03,32.94,114.0,20,-10.392224444444448,9.58850740828497,-8.77211851851852,-20.936170370370373,-0.3003481481481486,20
22,2700,0.0,2700.0,2700,2700,20,1718.35,876.9333693106486,2387.5,606,2511,20,0.636425925925926,0.3247901367817217,0.8842592592592593,0.22444444444444445,0.93,20,-89.96611833333347,3.314220532966764,-89.36730740740741,-100.88110000000117,-86.64836666666756,20,-98.73179018518526,8.80845000471796,-93.31502407407407,-108.80897037037036,-89.04818148148148,20,8.765671851851852,9.577854430452415,1.3253740740740743,0.7097037037037038,21.48697037037037,20,58.473,26.125946187851767,44.379999999999995,29.0,101.75999999999999,20,-8.663449259259261,9.563143533664006,-1.2119629629629634,-21.36234814814815,-0.6256814814814818,20
23,2700,0.0,2700.0,2700,2700,20,1740.95,949.3879732144338,2503.0,586,2605,20,0.6447962962962963,0.3516251752646051,0.9270370370370371,0.21703703703703703,0.9648148148148148,20,-87.26440500000005,4.717517947589859,-89.36089444444445,-94.18581481481519,-80.84742962962963,20,-96.38539759259261,5.979558330024225,-92.73032962962964,-104.83994074074064,-89.24332592592593,20,9.120992592592591,9.907380596555805,0.9718925925925928,0.3596222222222223,22.012007407407406,20,58.109,24.383010888731526,55.879999999999995,27.120000000000005,94.0,20,-9.092286296296296,9.904430365624409,-0.9387925925925928,-21.982496296296297,-0.33606666666666674,20
