route_id,start_edge,route_edges,movement_sequence,turns,intersections,raw_probability,normalized_probability
r305,-C2_0,-C2_0 C2B2 B2B1 B1B0 B0A0 A0_1,right left straight right straight,3,5,0.0006399999999999996,0.0006436642518529481
r306,-C2_0,-C2_0 C2B2 B2B1 B1B0 B0C0 C0_1,right left straight left straight,3,5,0.0006399999999999996,0.0006436642518529481
r307,-C2_0,-C2_0 C2B2 B2B1 B1B0 B0_0,right left straight straight,2,4,0.006399999999999998,0.006436642518529482
r308,-C2_0,-C2_0 C2B2 B2_0,right right,2,2,0.009999999999999995,0.010057253935202314
r309,-C2_0,-C2_0 C2_1,left,1,1,0.09999999999999998,0.10057253935202316
r310,-C2_0,-C2_0 C2C1 C1B1 B1A1 A1_1,straight right straight straight,1,4,0.051199999999999996,0.05149314014823587
r311,-C2_0,-C2_0 C2C1 C1B1 B1A1 A1A0 A0_1,straight right straight left right,3,5,0.0006399999999999996,0.0006436642518529481
r312,-C2_0,-C2_0 C2C1 C1B1 B1A1 A1A0 A0B0 B0C0 C0_1,straight right straight left left straight straight,3,7,0.0004095999999999998,0.00041194512118588683
r313,-C2_0,-C2_0 C2C1 C1B1 B1A1 A1A0 A0_0,straight right straight left straight,2,5,0.005119999999999999,0.005149314014823586
r314,-C2_0,-C2_0 C2C1 C1B1 B1A1 A1A2 A2_1,straight right straight right left,3,5,0.0006399999999999996,0.0006436642518529481
r315,-C2_0,-C2_0 C2C1 C1B1 B1A1 A1A2 A2_0,straight right straight right straight,2,5,0.005119999999999999,0.005149314014823586
r316,-C2_0,-C2_0 C2C1 C1B1 B1B0 B0A0 A0_1,straight right left right straight,3,5,0.0006399999999999996,0.0006436642518529481
r317,-C2_0,-C2_0 C2C1 C1B1 B1B0 B0C0 C0_1,straight right left left straight,3,5,0.0006399999999999996,0.0006436642518529481
r318,-C2_0,-C2_0 C2C1 C1B1 B1B0 B0_0,straight right left straight,2,4,0.006399999999999998,0.006436642518529482
r319,-C2_0,-C2_0 C2C1 C1B1 B1B2 B2A2 A2_1,straight right right left straight,3,5,0.0006399999999999996,0.0006436642518529481
r320,-C2_0,-C2_0 C2C1 C1B1 B1B2 B2_0,straight right right straight,2,4,0.006399999999999998,0.006436642518529482
r321,-C2_0,-C2_0 C2C1 C1_1,straight left,1,2,0.07999999999999999,0.08045803148161854
r322,-C2_0,-C2_0 C2C1 C1C0 C0B0 B0A0 A0_1,straight straight right straight straight,1,5,0.04096,0.041194512118588704
r323,-C2_0,-C2_0 C2C1 C1C0 C0B0 B0A0 A0_0,straight straight right straight left,2,5,0.005119999999999999,0.005149314014823586
r324,-C2_0,-C2_0 C2C1 C1C0 C0B0 B0A0 A0A1 A1_1,straight straight right straight right left,3,6,0.0005119999999999998,0.0005149314014823585
r325,-C2_0,-C2_0 C2C1 C1C0 C0B0 B0A0 A0A1 A1A2 A2_1,straight straight right straight right straight left,3,7,0.0004095999999999998,0.00041194512118588683
r326,-C2_0,-C2_0 C2C1 C1C0 C0B0 B0A0 A0A1 A1A2 A2_0,straight straight right straight right straight straight,2,7,0.0032767999999999994,0.0032955609694870955
r327,-C2_0,-C2_0 C2C1 C1C0 C0B0 B0_0,straight straight right left,2,4,0.006399999999999999,0.006436642518529483
r328,-C2_0,-C2_0 C2C1 C1C0 C0B0 B0B1 B1A1 A1_1,straight straight right right left straight,3,6,0.0005119999999999998,0.0005149314014823585
r329,-C2_0,-C2_0 C2C1 C1C0 C0B0 B0B1 B1B2 B2A2 A2_1,straight straight right right straight left straight,3,7,0.00040959999999999993,0.00041194512118588694
r330,-C2_0,-C2_0 C2C1 C1C0 C0B0 B0B1 B1B2 B2_0,straight straight right right straight straight,2,6,0.004096,0.0041194512118588695
r331,-C2_0,-C2_0 C2C1 C1C0 C0_1,straight straight left,1,3,0.064,0.06436642518529484
r332,-C2_0,-C2_0 C2C1 C1C0 C0_0,straight straight straight,0,3,0.5120000000000001,0.5149314014823588
r333,-C0_1,-C0_1 C0B0 B0A0 A0_1,straight straight straight,0,3,0.5120000000000001,0.5149314014823589
r334,-C0_1,-C0_1 C0B0 B0A0 A0_0,straight straight left,1,3,0.064,0.06436642518529485
r335,-C0_1,-C0_1 C0B0 B0A0 A0A1 A1_1,straight straight right left,2,4,0.006399999999999999,0.0064366425185294835
r336,-C0_1,-C0_1 C0B0 B0A0 A0A1 A1B1 B1C1 C1_1,straight straight right right straight straight,2,6,0.004096,0.00411945121185887
r337,-C0_1,-C0_1 C0B0 B0A0 A0A1 A1B1 B1C1 C1C2 C2_0,straight straight right right straight left straight,3,7,0.00040959999999999993,0.00041194512118588694
r338,-C0_1,-C0_1 C0B0 B0A0 A0A1 A1B1 B1B2 B2_0,straight straight right right left straight,3,6,0.0005119999999999998,0.0005149314014823586
r339,-C0_1,-C0_1 C0B0 B0A0 A0A1 A1A2 A2_1,straight straight right straight left,2,5,0.005119999999999999,0.005149314014823586
r340,-C0_1,-C0_1 C0B0 B0A0 A0A1 A1A2 A2B2 B2C2 C2_1,straight straight right straight right straight straight,2,7,0.0032767999999999994,0.0032955609694870955
r341,-C0_1,-C0_1 C0B0 B0A0 A0A1 A1A2 A2B2 B2C2 C2_0,straight straight right straight right straight left,3,7,0.0004095999999999998,0.00041194512118588683
r342,-C0_1,-C0_1 C0B0 B0A0 A0A1 A1A2 A2B2 B2_0,straight straight right straight right left,3,6,0.0005119999999999998,0.0005149314014823586
r343,-C0_1,-C0_1 C0B0 B0A0 A0A1 A1A2 A2_0,straight straight right straight straight,1,5,0.04096,0.041194512118588704
r344,-C0_1,-C0_1 C0B0 B0_0,straight left,1,2,0.07999999999999999,0.08045803148161855
r345,-C0_1,-C0_1 C0B0 B0B1 B1A1 A1_1,straight right left straight,2,4,0.006399999999999998,0.006436642518529483
r346,-C0_1,-C0_1 C0B0 B0B1 B1A1 A1A0 A0_0,straight right left left straight,3,5,0.0006399999999999996,0.0006436642518529481
r347,-C0_1,-C0_1 C0B0 B0B1 B1A1 A1A2 A2_0,straight right left right straight,3,5,0.0006399999999999996,0.0006436642518529481
r348,-C0_1,-C0_1 C0B0 B0B1 B1C1 C1_1,straight right right straight,2,4,0.006399999999999998,0.006436642518529483
r349,-C0_1,-C0_1 C0B0 B0B1 B1C1 C1C2 C2_0,straight right right left straight,3,5,0.0006399999999999996,0.0006436642518529481
r350,-C0_1,-C0_1 C0B0 B0B1 B1B2 B2A2 A2_1,straight right straight left straight,2,5,0.005119999999999999,0.005149314014823586
r351,-C0_1,-C0_1 C0B0 B0B1 B1B2 B2A2 A2A1 A1A0 A0_0,straight right straight left left straight straight,3,7,0.0004095999999999998,0.00041194512118588683
r352,-C0_1,-C0_1 C0B0 B0B1 B1B2 B2A2 A2_0,straight right straight left right,3,5,0.0006399999999999996,0.0006436642518529481
r353,-C0_1,-C0_1 C0B0 B0B1 B1B2 B2C2 C2_1,straight right straight right straight,2,5,0.005119999999999999,0.005149314014823586
r354,-C0_1,-C0_1 C0B0 B0B1 B1B2 B2C2 C2_0,straight right straight right left,3,5,0.0006399999999999996,0.0006436642518529481
r355,-C0_1,-C0_1 C0B0 B0B1 B1B2 B2_0,straight right straight straight,1,4,0.051199999999999996,0.051493140148235875
r356,-C0_1,-C0_1 C0_0,left,1,1,0.09999999999999998,0.10057253935202318
r357,-C0_1,-C0_1 C0C1 C1B1 B1A1 A1_1,right left straight straight,2,4,0.006399999999999998,0.006436642518529483
r358,-C0_1,-C0_1 C0C1 C1B1 B1A1 A1A0 A0_0,right left straight left straight,3,5,0.0006399999999999996,0.0006436642518529481
r359,-C0_1,-C0_1 C0C1 C1B1 B1A1 A1A2 A2_0,right left straight right straight,3,5,0.0006399999999999996,0.0006436642518529481
r360,-C0_1,-C0_1 C0C1 C1B1 B1B0 B0_0,right left left straight,3,4,0.0007999999999999995,0.0008045803148161851
r361,-C0_1,-C0_1 C0C1 C1B1 B1B2 B2_0,right left right straight,3,4,0.0007999999999999995,0.0008045803148161851
r362,-C0_1,-C0_1 C0C1 C1_1,right right,2,2,0.009999999999999995,0.010057253935202315
r363,-C0_1,-C0_1 C0C1 C1C2 C2B2 B2A2 A2_1,right straight left straight straight,2,5,0.005119999999999999,0.005149314014823586
r364,-C0_1,-C0_1 C0C1 C1C2 C2B2 B2A2 A2A1 A1A0 A0_0,right straight left straight left straight straight,3,7,0.0004095999999999998,0.00041194512118588683
r365,-C0_1,-C0_1 C0C1 C1C2 C2B2 B2A2 A2_0,right straight left straight right,3,5,0.0006399999999999996,0.0006436642518529481
r366,-C0_1,-C0_1 C0C1 C1C2 C2B2 B2B1 B1B0 B0_0,right straight left left straight straight,3,6,0.0005119999999999998,0.0005149314014823586
r367,-C0_1,-C0_1 C0C1 C1C2 C2B2 B2_0,right straight left right,3,4,0.0007999999999999995,0.0008045803148161851
r368,-C0_1,-C0_1 C0C1 C1C2 C2_1,right straight right,2,3,0.007999999999999997,0.008045803148161853
r369,-C0_1,-C0_1 C0C1 C1C2 C2_0,right straight straight,1,3,0.06399999999999999,0.06436642518529484
r370,-C1_1,-C1_1 C1B1 B1A1 A1_1,straight straight straight,0,3,0.5120000000000001,0.5149744926696601
r371,-C1_1,-C1_1 C1B1 B1A1 A1A0 A0_1,straight straight left right,2,4,0.006399999999999999,0.006437181158370749
r372,-C1_1,-C1_1 C1B1 B1A1 A1A0 A0B0 B0C0 C0_1,straight straight left left straight straight,2,6,0.004096,0.00411979594135728
r373,-C1_1,-C1_1 C1B1 B1A1 A1A0 A0B0 B0C0 C0_0,straight straight left left straight right,3,6,0.0005119999999999999,0.0005149744926696599
r374,-C1_1,-C1_1 C1B1 B1A1 A1A0 A0B0 B0_0,straight straight left left right,3,5,0.0006399999999999997,0.0006437181158370748
r375,-C1_1,-C1_1 C1B1 B1A1 A1A0 A0_0,straight straight left straight,1,4,0.0512,0.051497449266966006
r376,-C1_1,-C1_1 C1B1 B1A1 A1A2 A2_1,straight straight right left,2,4,0.006399999999999999,0.006437181158370749
r377,-C1_1,-C1_1 C1B1 B1A1 A1A2 A2B2 B2C2 C2_1,straight straight right right straight straight,2,6,0.004096,0.00411979594135728
r378,-C1_1,-C1_1 C1B1 B1A1 A1A2 A2B2 B2C2 C2_0,straight straight right right straight left,3,6,0.0005119999999999999,0.0005149744926696599
