table,grid,condition,item,metric,value,n,ci_low,ci_high,standard_deviation,minimum,maximum,qaoa_mean,exact_global,hedges_g,median,level,rank
2,3x3,alpha=0.7,SCOOT,throughput,664.0,1,,,,,,,,,,,
2,3x3,alpha=0.7,PressLight,average_travel_time,210.47,1,,,,,,,,,,,
2,3x3,alpha=0.7,PressLight,average_waiting_time,48.7,1,,,,,,,,,,,
2,3x3,alpha=0.7,PressLight,throughput,784.0,1,,,,,,,,,,,
2,3x3,alpha=0.7,MPLight,average_travel_time,191.92,1,,,,,,,,,,,
2,3x3,alpha=0.7,MPLight,average_waiting_time,45.59,1,,,,,,,,,,,
2,3x3,alpha=0.7,MPLight,throughput,946.0,1,,,,,,,,,,,
2,3x3,alpha=0.7,CoLight,average_travel_time,185.92,1,,,,,,,,,,,
2,3x3,alpha=0.7,CoLight,average_waiting_time,44.5,1,,,,,,,,,,,
2,3x3,alpha=0.7,CoLight,throughput,978.0,1,,,,,,,,,,,
2,3x3,alpha=0.7,QAOA,average_travel_time,197.496,20,194.8654875,199.88001250000005,,,,,,,,,
2,3x3,alpha=0.7,QAOA,average_waiting_time,43.746,20,43.39748750000001,44.0455,,,,,,,,,
2,3x3,alpha=0.7,QAOA,throughput,979.9,20,966.7987499999999,994.2,,,,,,,,,
2,3x3,alpha=1.0,Fixed-Time,average_travel_time,196.64,1,,,,,,,,,,,
2,3x3,alpha=1.0,Fixed-Time,average_waiting_time,57.8,1,,,,,,,,,,,
2,3x3,alpha=1.0,Fixed-Time,throughput,627.0,1,,,,,,,,,,,
2,3x3,alpha=1.0,Classical Local,average_travel_time,130.33,1,,,,,,,,,,,
2,3x3,alpha=1.0,Classical Local,average_waiting_time,41.92,1,,,,,,,,,,,
2,3x3,alpha=1.0,Classical Local,throughput,1072.0,1,,,,,,,,,,,
2,3x3,alpha=1.0,Classical Global,average_travel_time,135.48,1,,,,,,,,,,,
2,3x3,alpha=1.0,Classical Global,average_waiting_time,40.51,1,,,,,,,,,,,
2,3x3,alpha=1.0,Classical Global,throughput,1008.0,1,,,,,,,,,,,
2,3x3,alpha=1.0,Max-Pressure,average_travel_time,127.31,1,,,,,,,,,,,
2,3x3,alpha=1.0,Max-Pressure,average_waiting_time,40.46,1,,,,,,,,,,,
2,3x3,alpha=1.0,Max-Pressure,throughput,1096.0,1,,,,,,,,,,,
2,3x3,alpha=1.0,SCOOT,average_travel_time,200.68,1,,,,,,,,,,,
2,3x3,alpha=1.0,SCOOT,average_waiting_time,58.16,1,,,,,,,,,,,
2,3x3,alpha=1.0,SCOOT,throughput,620.0,1,,,,,,,,,,,
2,3x3,alpha=1.0,PressLight,average_travel_time,136.39,1,,,,,,,,,,,
2,3x3,alpha=1.0,PressLight,average_waiting_time,43.72,1,,,,,,,,,,,
2,3x3,alpha=1.0,PressLight,throughput,1031.0,1,,,,,,,,,,,
2,3x3,alpha=1.0,MPLight,average_travel_time,132.84,1,,,,,,,,,,,
2,3x3,alpha=1.0,MPLight,average_waiting_time,39.09,1,,,,,,,,,,,
2,3x3,alpha=1.0,MPLight,throughput,1051.0,1,,,,,,,,,,,
2,3x3,alpha=1.0,CoLight,average_travel_time,128.91,1,,,,,,,,,,,
2,3x3,alpha=1.0,CoLight,average_waiting_time,39.23,1,,,,,,,,,,,
2,3x3,alpha=1.0,CoLight,throughput,1011.0,1,,,,,,,,,,,
2,3x3,alpha=1.0,QAOA,average_travel_time,134.63349999999997,20,133.51550000000003,135.7710125,,,,,,,,,
2,3x3,alpha=1.0,QAOA,average_waiting_time,40.513000000000005,20,40.187,40.833000000000006,,,,,,,,,
2,3x3,alpha=1.0,QAOA,throughput,1014.55,20,1009.95,1019.25,,,,,,,,,
3,2x2,full-day,Fixed-Time,average_travel_time,77.0,1,,,,,,,,,,,
3,2x2,full-day,Fixed-Time,average_waiting_time,34.4,1,,,,,,,,,,,
3,2x2,full-day,Fixed-Time,throughput,63111.0,1,,,,,,,,,,,
3,2x2,full-day,Classical Local,average_travel_time,54.68,1,,,,,,,,,,,
