network,alpha,condition,run,shots,num_decisions,optimal_hits,optimum_recovery_rate,average_selected_energy,average_exact_min_energy,average_optimality_gap,average_travel_time,average_waiting_time,throughput
2x2,0.6,a6,7,512,600,598,0.9966666666666667,-91.17348333333332,-91.21301666666666,0.03953333333333325,103.01,38.26,899.0
2x2,0.6,a6,8,512,600,599,0.9983333333333333,-93.46805,-93.50405,0.035999999999999976,101.26,37.83,905.0
2x2,0.6,a6,9,512,600,598,0.9966666666666667,-93.50296666666667,-93.5167,0.013733333333333313,101.61,37.97,913.0
2x2,0.6,a6,10,512,600,597,0.995,-93.54841666666667,-93.65595,0.10753333333333336,101.26,37.83,905.0
2x2,0.6,a6,11,512,600,598,0.9966666666666667,-93.36208333333333,-93.47071666666666,0.1086333333333333,101.26,37.83,905.0
2x2,0.6,a6,12,512,600,596,0.9933333333333333,-93.17035,-93.30201666666666,0.13166666666666665,102.12,38.02,900.0
2x2,0.6,a6,13,512,600,599,0.9983333333333333,-93.4825,-93.48336666666665,0.0008666666666666482,101.61,37.97,913.0
2x2,0.6,a6,14,512,600,596,0.9933333333333333,-93.8179,-93.86113333333333,0.04323333333333335,101.61,37.97,913.0
2x2,0.6,a6,15,512,600,596,0.9933333333333333,-91.13701666666667,-91.18488333333333,0.047866666666666585,103.01,38.26,899.0
2x2,0.6,a6,16,512,600,596,0.9933333333333333,-93.33048333333333,-93.49528333333333,0.1648,101.26,37.83,905.0
2x2,0.6,a6,17,512,600,598,0.9966666666666667,-93.99025,-93.99478333333333,0.00453333333333332,100.72,37.93,907.0
2x2,0.6,a6,18,512,600,598,0.9966666666666667,-93.53241666666666,-93.58928333333333,0.05686666666666666,101.26,37.83,905.0
2x2,0.6,a6,19,512,600,593,0.9883333333333333,-91.00065,-91.25331666666666,0.2526666666666666,103.01,38.26,899.0
2x2,0.6,a6,20,512,600,598,0.9966666666666667,-93.47408333333333,-93.56195,0.08786666666666665,101.26,37.83,905.0
2x2,0.7,a7,1,512,600,599,0.9983333333333333,-92.98564999999999,-93.00095,0.015300000000000012,95.26,38.39,955.0
2x2,0.7,a7,2,512,600,594,0.99,-85.90648333333333,-86.14795,0.24146666666666666,98.59,39.66,908.0
2x2,0.7,a7,3,512,600,596,0.9933333333333333,-93.00421666666666,-93.06215,0.057933333333333316,95.26,38.39,955.0
2x2,0.7,a7,4,512,600,595,0.9916666666666667,-93.04661666666667,-93.08191666666667,0.03530000000000002,95.26,38.39,955.0
2x2,0.7,a7,5,512,600,595,0.9916666666666667,-94.13486666666667,-94.1792,0.044333333333333336,96.47,38.73,943.0
2x2,0.7,a7,6,512,600,597,0.995,-91.44258333333333,-91.46825,0.025666666666666664,97.55,38.63,933.0
2x2,0.7,a7,7,512,600,595,0.9916666666666667,-92.84508333333333,-92.93428333333333,0.08919999999999995,95.26,38.39,955.0
2x2,0.7,a7,8,512,600,597,0.995,-92.84345,-92.92795,0.08449999999999998,95.26,38.39,955.0
2x2,0.7,a7,9,512,600,595,0.9916666666666667,-85.74241666666666,-85.95085,0.20843333333333333,98.59,39.66,908.0
2x2,0.7,a7,10,512,600,596,0.9933333333333333,-92.91135,-92.99125,0.0799,95.26,38.39,955.0
2x2,0.7,a7,11,512,600,598,0.9966666666666667,-91.5735,-91.65426666666666,0.08076666666666668,99.35,39.14,911.0
2x2,0.7,a7,12,512,600,599,0.9983333333333333,-92.98564999999999,-93.00095,0.015300000000000012,95.26,38.39,955.0
2x2,0.7,a7,13,512,600,595,0.9916666666666667,-92.78075,-92.86761666666666,0.08686666666666665,95.26,38.39,955.0
2x2,0.7,a7,14,512,600,597,0.995,-92.86625,-92.94281666666667,0.07656666666666664,95.26,38.39,955.0
