signal_id,signal_description,latitude,longitude,assigned_count_stations,u,total_N_flow,total_S_flow,total_E_flow,total_W_flow,total_NE_flow,total_NW_flow,total_SE_flow,total_SW_flow,max_station_distance,average_station_distance,nonzero_direction_buckets
5304,12TH AVE NE AND NE 75TH ST,47.683086264152,-122.315279689984,38,408021.0,0.0,0.0,197508.0,210513.0,0.0,0.0,0.0,0.0,129.72702078856904,129.7270207885691,2
56456,DUWAMISH AVE S AND EAST MARGINAL NB WAY S,47.5687243567121,-122.339073953956,14,390896.0,390896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.74595213769993,81.74595213769996,1
220453,ROOSEVELT WAY NE AND NE 130TH S ST,47.722856586274,-122.323082640647,39,387253.0,0.0,0.0,0.0,0.0,0.0,192443.0,194810.0,0.0,76.06429458394744,76.0642945839474,2
227251,NE 125TH ST AND XW 26NE-27NE,47.7193033290261,-122.299553830814,42,368074.0,0.0,0.0,201068.0,167006.0,0.0,0.0,0.0,0.0,46.68076659714591,46.68076659714592,2
29532,AURORA AVE N AND RAYE ST,47.6429973961598,-122.347158117009,8,366560.0,174098.0,192462.0,0.0,0.0,0.0,0.0,0.0,0.0,137.94233580737438,137.94233580737438,2
219101,WAYNE PL N AND N 145TH ST,47.734135757427,-122.335332384655,29,363440.0,0.0,0.0,183120.0,180320.0,0.0,0.0,0.0,0.0,129.9844013990029,129.98440139900288,2
56263,EAST MARGINAL WAY S AND EAST MARGINAL NB WAY S,47.5697788786365,-122.33969770159,14,351898.0,0.0,351898.0,0.0,0.0,0.0,0.0,0.0,0.0,83.18077041356254,83.18077041356254,1
63301,1ST AVE S AND S LUCILE ST,47.5534259275929,-122.334215511507,38,349209.0,220838.0,128371.0,0.0,0.0,0.0,0.0,0.0,0.0,129.64179443191182,129.64179443191182,2
14329,9TH AVE NE AND NE 50TH ST,47.6649439610182,-122.3184379357,33,348680.0,0.0,0.0,176934.0,171746.0,0.0,0.0,0.0,0.0,127.41626057163684,127.41626057163684,2
22110,STONE WAY N AND N ALLEN PL,47.6606721210727,-122.342181325381,51,346827.0,171153.0,175674.0,0.0,0.0,0.0,0.0,0.0,0.0,129.64786622263867,129.6478662226387,2
232322,AURORA AVE N AND N 92ND ST,47.695633406467,-122.344582174614,18,341916.0,169534.0,172382.0,0.0,0.0,0.0,0.0,0.0,0.0,132.04172549028215,132.04172549028215,2
57217,COLUMBIAN WY - I5 NB RP AND S COLUMBIAN WB WAY,47.572937541915,-122.315365998313,18,337772.0,0.0,0.0,69592.0,0.0,0.0,0.0,268180.0,0.0,81.68241900221598,81.68241900221598,2
14725,2ND AVE NE AND NE 50TH ST,47.6649971979531,-122.327196987271,23,317576.0,0.0,0.0,151804.0,165772.0,0.0,0.0,0.0,0.0,131.97696600115853,131.97503985845344,2
15251,NE 62ND ST AND DEAD END 2,47.6737620812258,-122.301102147765,39,316771.0,183860.0,132911.0,0.0,0.0,0.0,0.0,0.0,0.0,133.8804279200128,133.88042792001286,2
70255,1ST AV S BR SB AND POINT B,47.5424808999407,-122.334641346242,7,306631.0,182992.0,123639.0,0.0,0.0,0.0,0.0,0.0,0.0,144.5825730101537,144.5825730101537,2
27310,MAGNOLIA BR AND MAGNOLIA EB W BR,47.6334892444222,-122.38225703253,33,304323.0,0.0,0.0,154144.0,150179.0,0.0,0.0,0.0,0.0,144.17354646817594,144.17354646817594,2
55662,SPOKANE TURN RD AND SW SPOKANE SR ST,47.5714096365135,-122.370098815422,34,299684.0,0.0,0.0,119130.0,128521.0,0.0,52033.0,0.0,0.0,114.75171503271393,97.75767707601226,3
57663,5TH AVE S AND S SPOKANE SR ST,47.5714201728404,-122.327461445345,9,299516.0,0.0,0.0,299516.0,0.0,0.0,0.0,0.0,0.0,145.38020407499226,145.38020407499226,1
56618,S SPOKANE ST AND SW SPOKANE ST,47.5715572253404,-122.34447753016,20,295507.0,0.0,0.0,148541.0,146966.0,0.0,0.0,0.0,0.0,33.04266096733664,33.04266096733663,2
65262,M L KING JR ER WAY S AND S ANGELINE ST,47.5593440946535,-122.292325470135,25,294694.0,110111.0,129513.0,0.0,0.0,0.0,0.0,55070.0,0.0,120.24221545864634,120.24221545864636,3
64255,8TH AVE S AND S LUCILE ST,47.5533540881231,-122.321519683735,36,290912.0,9859.0,7697.0,5041.0,8153.0,0.0,128770.0,131392.0,0.0,89.34243948266314,86.4294962241671,6
71651,4TH AVE S AND EAST MARGINAL WAY S,47.5438903536262,-122.329620739073,36,290871.0,277.0,0.0,0.0,0.0,0.0,159743.0,130851.0,0.0,46.572829627180354,46.206641248071065,3
23451,UNIVERSITY BR AND POINT A,47.6524774220514,-122.320581727082,19,290199.0,88890.0,116234.0,0.0,0.0,54767.0,0.0,0.0,30308.0,99.6538761280425,99.65387612804251,4
78313,14TH AVE S AND S HENDERSON ST,47.5230421812281,-122.314968109656,36,289429.0,143804.0,145625.0,0.0,0.0,0.0,0.0,0.0,0.0,147.10157753409834,147.10157753409834,2
37303,DEWEY PL E AND E MERCER ST,47.6249620859141,-122.293436481555,36,288542.0,0.0,0.0,0.0,0.0,155625.0,0.0,0.0,132917.0,100.17602200129755,100.17602200129755,2
230359,16TH AVE NW AND NW 85TH ST,47.6906057827223,-122.377883499887,39,288146.0,0.0,0.0,147683.0,140463.0,0.0,0.0,0.0,0.0,131.6385948702684,131.63859487026838,2
65513,BEACON WR AVE S AND S COLUMBIAN WAY,47.5596079344953,-122.304655685305,35,285564.0,0.0,0.0,91804.0,108865.0,0.0,42721.0,42174.0,0.0,116.15437206921682,116.1543720692168,4
36860,MINOR AVE AND VIRGINIA ST,47.6183785066304,-122.333157918878,24,281266.0,0.0,0.0,160540.0,120726.0,0.0,0.0,0.0,0.0,49.73208833812833,49.73208833812833,2
40658,9TH AV I5 EXPRESS ON RP AND I5 EXPRESS PIKE ST RP,47.6127929505473,-122.330954382928,37,277535.0,0.0,0.0,31267.0,7428.0,145747.0,0.0,0.0,93093.0,92.51760827091742,92.51760827091739,4
14331,11TH AVE NE AND NE 50TH ST,47.6649276733605,-122.316334519635,29,276830.0,0.0,0.0,103788.0,173042.0,0.0,0.0,0.0,0.0,134.5195311686511,132.70527930157107,2
17505,SAND POINT WAY NE AND NE 64TH ST,47.6751599626576,-122.263851369752,34,273489.0,0.0,0.0,0.0,0.0,139029.0,0.0,0.0,134460.0,111.18390239781651,111.1839023978165,2
219853,NORTH PARK AVE N AND DEAD END 1,47.7231289266921,-122.34934448248,39,270806.0,0.0,0.0,128920.0,141886.0,0.0,0.0,0.0,0.0,36.99248813481627,36.99248813481628,2
40854,7TH AVE AND MADISON ST OFF RP,47.6068995333504,-122.32905115873,19,267212.0,56503.0,0.0,0.0,0.0,0.0,210709.0,0.0,0.0,124.44519380175612,79.00351087872944,2
38519,WOODROW PL E AND E MADISON ST,47.6312052136176,-122.284785912214,39,263810.0,0.0,0.0,0.0,0.0,125288.0,0.0,0.0,138522.0,122.57313447731268,122.57313447731273,2
3523,8TH AVE NW AND NW 79TH ST,47.6861971247852,-122.366003465805,39,262383.0,131505.0,130878.0,0.0,0.0,0.0,0.0,0.0,0.0,134.82373309392813,134.82373309392815,2
5385,14TH AVE NE AND NE 65TH ST,47.6757936944419,-122.313131210692,33,249889.0,0.0,0.0,143598.0,106291.0,0.0,0.0,0.0,0.0,149.99806430775342,147.66131830578217,2
23468,NE BOAT WR ST AND DEAD END,47.654133205638,-122.31861197448,32,240341.0,0.0,0.0,8584.0,7652.0,0.0,107595.0,116510.0,0.0,122.00115665160544,122.00115665160544,4
40731,6TH AVE AND SPRING ST,47.6077300503722,-122.331342548128,14,239743.0,0.0,30226.0,0.0,0.0,0.0,0.0,209517.0,0.0,87.38687610960211,87.38687610960211,2
13509,PHINNEY AVE N AND N 64TH ST,47.6752951688092,-122.354349786635,42,235243.0,109936.0,125307.0,0.0,0.0,0.0,0.0,0.0,0.0,132.1676065983125,132.1676065983125,2
5324,ROOSEVELT WAY NE AND NE 73RD ST,47.6815539309531,-122.317456961952,26,233591.0,0.0,225232.0,5441.0,2918.0,0.0,0.0,0.0,0.0,129.50785302121503,125.01030521425679,3
40745,6TH AVE AND MADISON ST,47.6070168375249,-122.330688999518,14,232124.0,0.0,0.0,0.0,0.0,0.0,0.0,232124.0,0.0,106.75340160055676,106.75340160055677,1
232506,GREENWOOD AVE N AND N 104TH ST,47.7043590501489,-122.355445164659,35,225142.0,113485.0,111657.0,0.0,0.0,0.0,0.0,0.0,0.0,131.63963291716024,131.63963291716024,2
12707,15TH AVE NW AND NW 54TH ST,47.6678913446406,-122.37621569979,11,224637.0,120125.0,104512.0,0.0,0.0,0.0,0.0,0.0,0.0,141.4496387908983,141.44963879089826,2
4530,GREENWOOD AVE N AND N 79TH ST,47.6862151093695,-122.355299160855,37,221021.0,108987.0,112034.0,0.0,0.0,0.0,0.0,0.0,0.0,132.05820298042593,132.058202980426,2
58387,M L KING JR WR WAY S AND S SNOQUALMIE ST,47.5617841919768,-122.29408619311,31,216290.0,206430.0,0.0,0.0,0.0,0.0,9860.0,0.0,0.0,53.41174606603281,53.41174606603279,2
39312,2ND AVE AND PINE ST,47.6102783213331,-122.339812458467,19,210717.0,0.0,31798.0,0.0,0.0,0.0,0.0,178919.0,0.0,147.54311123070573,147.5431112307057,2
75851,FAUNTLEROY ER WAY SW AND SW CONCORD ST,47.5241981750164,-122.392747999283,37,207755.0,98190.0,109565.0,0.0,0.0,0.0,0.0,0.0,0.0,72.30468892071704,72.30468892071706,2
39148,6TH AVE AND STEWART ST,47.6136223322859,-122.337014617038,29,205419.0,40336.0,0.0,0.0,24502.0,0.0,106835.0,0.0,33746.0,127.3792925609417,101.71454574009516,4
40653,8TH AVE AND CONVENTION CTR DR,47.6114686951931,-122.331696438382,45,203796.0,12699.0,10212.0,0.0,0.0,0.0,20112.0,20977.0,139796.0,128.8864524549518,127.82542711502738,5
40660,I5 SB AND UNION ST OFF RP,47.6115760670545,-122.331101914514,33,200871.0,7959.0,26779.0,0.0,0.0,134069.0,0.0,0.0,32064.0,140.72400788058465,120.05217044121913,4
14726,1ST AVE NE AND NE 50TH ST,47.6650026637017,-122.328267805689,16,198328.0,0.0,762.0,104084.0,93482.0,0.0,0.0,0.0,0.0,133.011353906522,100.06327276526494,3
45547,22ND AVE S AND S JACKSON ST,47.5992745291902,-122.303284940501,35,196814.0,0.0,0.0,103574.0,93240.0,0.0,0.0,0.0,0.0,129.21803444347572,129.2180344434757,2
